"parcel_id","num_changes","tot_rent_change","total_days_on_market","initial_rent","days_til_first_change","first_change_amt","days_til_second_change","second_change_amt","days_til_third_change","third_change_amt","days_til_fourth_change","fourth_change_amt","days_til_fifth_change","fifth_change_amt","parcel_number","parcel_county","parcel_address1","parcel_address2","parcel_city","parcel_state","parcel_zipcode","parcel_longitude","parcel_latitude","land_use","acres","sqft_total","bedroom_count","bathroom_count","year_built","last_sale","last_price","total_value"
"128","0",,"5","1150",,,,,,,,,,,"12433719056","Clark","5036 TREASURE HILLS ST","","NORTH LAS VEGAS","NV","89031","-115.154835","36.251780","386","0.0800046","1421","3","2.000","2006","2015-08-31","128000","64311"
"227","0",,"8","1150",,,,,,,,,,,"B-1958-0002-000B","Iron","257 E 3025 N","","CEDAR CITY","UT","84721","-113.057423","37.731860","386","0.0250000","0","0","0.000",,,"0","92950"
"399","2","-100","24","1495","25","-50","6","-50",,,,,,,"02149149","Washoe","4418 MATICH DR","","RENO","NV","89502","-119.749263","39.475540","366","0.0010101","1034","2","3.000","1985","2014-12-15","115000","30333"
"552","0",,"9","1495",,,,,,,,,,,"12427712035","Clark","5804 SIERRA CLIFF ST","","NORTH LAS VEGAS","NV","89031","-115.139655","36.265633","385","0.1100092","2039","2","3.000","2008","2013-05-20","130000","90942"
"631","0",,"16","1490",,,,,,,,,,,"12422811083","Clark","6461 RAVEN HALL ST","","NORTH LAS VEGAS","NV","89084","-115.141522","36.277937","385","0.0600092","1575","4","3.000","2004","2018-03-01","215000","69884"
"661","1","-100","38","1525","30","-100",,,,,,,,,"13836812009","Clark","5128 PADUA WAY","","LAS VEGAS","NV","89107","-115.212570","36.162576","385","0.1300046","1516","3","2.000","1993","2016-09-15","181000","67006"
"863","0",,"36","7500",,,,,,,,,,,"16303416003","Clark","2260 VILLEFORT CT","","LAS VEGAS","NV","89117","-115.253478","36.146635","385","0.4100092","6894","4","6.000","2003","2014-08-11","1225000","482236"
"1470","0",,"32","2795",,,,,,,,,,,"21420204","Washoe","1870 HUNTER CREEK RD","","RENO","NV","89519","-119.863323","39.492541","385","0.1399908","1836","2","2.000","1999","2016-05-06","425000","109898"
"1624","0",,"26","1820",,,,,,,,,,,"0445406","Washington","3091 WINDMILL CIR","","SANTA CLARA","UT","84765","-113.654041","37.142468","385","0.2500000","2081","3","2.000","1994","2006-11-27","0","182325"
"1650","2","-195","39","1795","6","-100","15","-95",,,,,,,"09-105-0016","Cache","346 SUNBURST LN","","RICHMOND","UT","84333","-111.798735","41.933326","385","0.2600092","1192","0","0.000","2004",,"0","220650"
"1824","0",,"20","1400",,,,,,,,,,,"17823611003","Clark","737 SOLITUDE POINT AVE","","HENDERSON","NV","89012","-115.018874","36.022010","386","0.0600092","1371","3","3.000","2000","2013-06-05","0","55866"
"2426","0",,"23","800",,,,,,,,,,,"16220111062","Clark","4200 S VALLEY VIEW BLVD","UNIT 2110","LAS VEGAS","NV","89103","-115.188226","36.113625","366","0.0000000","680","1","1.000","1990","2018-06-18","0","26417"
"2497","0",,"21","1495",,,,,,,,,,,"32103520070000","Salt Lake","7072 W ECHO BLUFF CIR","","HERRIMAN","UT","84096","-112.059603","40.481263","385","0.9800046","2249","6","4.000",,"2016-03-28","0","415415"
"2575","0",,"1","340",,,,,,,,,,,"362310022","Utah","765 E 750 N","APT 10","PROVO","UT","84606","-111.645387","40.244093","366","0.0239899","1040","2","2.000","1983","2008-05-15","0","133650"
"2645","0",,"21","1850",,,,,,,,,,,"17830710105","Clark","2305 W HORIZON RIDGE PKWY","APT 3411","HENDERSON","NV","89052","-115.088510","36.004731","366","0.0000000","1200","2","2.000","2004","2014-06-02","120100","50540"
"2736","1","-50","17","1600","16","-50",,,,,,,,,"12510814015","Clark","6908 BRIER CREEK LN","","LAS VEGAS","NV","89131","-115.245263","36.305953","385","0.1199954","1681","3","2.000","2004","2009-02-17","178000","91416"
"2929","0",,"36","2300",,,,,,,,,,,"132033212007","Douglas","1532 SNAFFLE BIT DR","","GARDNERVILLE","NV","89410","-119.749524","38.949147","385","0.2257346","2117","0","0.000","2015","2015-10-16","352775","112678"
"3051","0",,"35","1325",,,,,,,,,,,"12431114089","Clark","5402 PEONY CT","","NORTH LAS VEGAS","NV","89031","-115.205663","36.258039","385","0.0699954","1703","3","3.000","2001","2010-01-29","0","64958"
"3801","1","-100","7","1900","7","-100",,,,,,,,,"13724112087","Clark","10608 GRAND CYPRESS AVE","","LAS VEGAS","NV","89134","-115.329198","36.202786","385","0.1699954","2176","3","2.000","1997","1997-10-08","227000","92816"
"3896","0",,"5","1550",,,,,,,,,,,"09021211","Washoe","7820 BIG RIVER DR","","RENO","NV","89506","-119.906741","39.633038","385","0.1190083","990","3","2.000","1994","2006-06-28","250000","46309"
"4069","3","-75","97","900","22","-5","75","30","56","-100",,,,,"B-1805-000B-0004","Iron","576 W 1045 N","APT B4","CEDAR CITY","UT","84721","-113.071346","37.696858","366","0.0000000","0","0","0.000",,,"0","95000"
"4630","1","-50","11","1295","4","-50",,,,,,,,,"0042054","Washington","2432 E 750 NORTH CIR","","SAINT GEORGE","UT","84790","-113.532094","37.121011","385","0.2600092","1066","2","1.000","1976","2016-10-06","0","93720"
"4682","1","-50","20","1620","15","-50",,,,,,,,,"0433543","Washington","150 S CRYSTAL LAKES DR","UNIT 45","SAINT GEORGE","UT","84770","-113.628975","37.106155","366","0.1000000","2147","4","3.000","1994","2005-05-11","0","169895"
"4745","0",,"7","850",,,,,,,,,,,"16325210095","Clark","5166 S JONES BLVD","UNIT 207","LAS VEGAS","NV","89118","-115.223660","36.095610","366","0.0528926","668","1","1.000","1989","2019-02-08","116000","23336"
"4916","4","-350","84","2345","72","-120","31","-80","11","-70","5","-80",,,"51648202","Washoe","731 TEMPIUTE CT","","SPARKS","NV","89436","-119.733030","39.579937","385","0.1769054","2012","4","3.000","2015","2015-03-31","295000","113902"
"5905","1","-100","38","1795","27","-100",,,,,,,,,"084550020","Weber","3384 W 4225 S","","WEST HAVEN","UT","84401","-112.059490","41.186890","385","0.1000000","1327","4","3.000","2010","2015-08-21","0","143000"
"6071","0",,"28","1200",,,,,,,,,,,"14006315033","Clark","4331 FERNGROVE WAY","","LAS VEGAS","NV","89115","-115.093070","36.238408","385","0.1399908","1148","3","2.000","1995","2011-11-30","57000","44342"
"6544","2","-100","64","2300","23","-50","14","-50",,,,,,,"415220015","Utah","4342 N FOXTRAIL DR","","LEHI","UT","84043","-111.883692","40.441089","385","0.3339991","2408","4","3.000","2007","2019-04-05","0","206525"
"6940","0",,"2","1400",,,,,,,,,,,"076750056","Weber","6136 S 1450 E","","SOUTH OGDEN","UT","84405","-111.942230","41.151088","385","0.0600092","1436","3","2.500","2006","2018-12-21","0","127050"
